product_id,actual_payment,product_name,category,brand,price,sales_count,cum_ratio,ABC
P001695,277250.02999999997,苏泊尔家用电器商品681,家用电器,苏泊尔,6464.3,3811,0.0060055051425373235,A
P000980,240474.59,海康威视汽车用品商品432,汽车用品,海康威视,7605.64,9325,0.011214418508189817,A
P000484,240439.03,三星手机数码商品810,手机数码,三星,6532.11,4999,0.016422561609677255,A
P000413,236567.17,戴森家用电器商品153,家用电器,戴森,6977.43,3568,0.021546836460037064,A
P001602,225405.66,米其林汽车用品商品226,汽车用品,米其林,7787.6,7999,0.026429342154579347,A
P000940,220442.14,美的家用电器商品123,家用电器,美的,7423.34,3747,0.031204333181278004,A
P000130,218886.91,苹果手机数码商品741,手机数码,苹果,6002.02,3707,0.03594563641446107,A
P001582,218692.26,西门子家用电器商品753,家用电器,西门子,7469.01,3937,0.04068272333944034,A
P000348,216018.83,一加手机数码商品589,手机数码,一加,7547.41,533,0.04536190117199061,A
P000741,203055.99,格力家用电器商品687,家用电器,格力,7236.89,6844,0.049760291289993513,A
P001140,194627.6,vivo手机数码商品604,手机数码,vivo,7283.81,9929,0.05397611428802781,A
P001134,182204.96,壳牌汽车用品商品461,汽车用品,壳牌,7790.29,6166,0.057922850828600256,A
P000946,179421.26,松下家用电器商品394,家用电器,松下,6098.32,6259,0.061809289721359,A
P000166,178815.82,华为手机数码商品367,手机数码,华为,5412.3,202,0.06568261419521758,A
P001995,173639.93,苹果手机数码商品860,手机数码,苹果,6726.89,9910,0.06944382386060453,A
P001675,173589.81,3M汽车用品商品220,汽车用品,3M,7819.37,5681,0.07320394787807381,A
P000225,172739.78,三星手机数码商品490,手机数码,三星,7369.49,1857,0.07694565941949642,A
P001490,171706.77,壳牌汽车用品商品142,汽车用品,壳牌,4899.21,3120,0.08066499496021204,A
P000275,171551.76,卡仕达汽车用品商品205,汽车用品,卡仕达,5778.02,8542,0.08438097283365477,A
P000612,169481.79,壳牌汽车用品商品857,汽车用品,壳牌,7481.47,9407,0.08805211314484403,A
P001915,168627.02000000002,小米手机数码商品490,手机数码,小米,6219.59,1285,0.09170473830697926,A
P001141,158991.94,美的家用电器商品300,家用电器,美的,7881.98,6489,0.09514865827081835,A
P001515,154568.5,博世汽车用品商品990,汽车用品,博世,5196.72,9901,0.09849676222458267,A
P000285,154109.0,格力家用电器商品762,家用电器,格力,6750.24,367,0.10183491296170355,A
P000067,152874.46,格力家用电器商品954,家用电器,格力,4962.86,5238,0.10514632236242613,A
P000247,151487.87,小米家用电器商品761,家用电器,小米,6885.94,2333,0.10842769687595467,A
P000456,149747.79,戴森家用电器商品122,家用电器,戴森,6286.42,4521,0.11167137956528965,A
P001101,148317.76,苏泊尔家用电器商品186,家用电器,苏泊尔,6551.91,9942,0.114884086414806,A
P000238,147985.06,华为手机数码商品874,手机数码,华为,6094.63,745,0.1180895866589311,A
P001013,145420.05,海尔家用电器商品408,家用电器,海尔,6272.91,2427,0.12123952629321368,A
P000475,143699.37,苏泊尔家用电器商品504,家用电器,苏泊尔,5391.86,3212,0.12435219432615988,A
P001921,143250.79,苏泊尔家用电器商品422,家用电器,苏泊尔,6111.41,1890,0.12745514568027708,A
P001899,142970.34,华为手机数码商品383,手机数码,华为,7227.83,9034,0.1305520222147911,A
P001130,141892.76,小米手机数码商品761,手机数码,小米,7416.93,9974,0.1336255573190752,A
P001469,141786.77,三星手机数码商品539,手机数码,三星,7823.29,131,0.1366967965769348,A
P001775,141329.27,OPPO手机数码商品389,手机数码,OPPO,6691.03,2022,0.13975812594009498,A
P001387,140535.81,西门子家用电器商品852,家用电器,西门子,5384.28,5934,0.1428022681883957,A
